dataset,model,normalization,label,relevance,diversity,geo,calibration,ndcg,platform,provider,civic,jsd_raw,ild_raw,geo_ild_km_raw,poplift_raw,gini_raw,elapsed_s
yelpphl,LightGCN,bounded,corner_relevance,4.0,0.0,0.0,0.0,0.05350625545253814,0.7658460389796666,0.8718840568345928,0.15092182979880486,0.2341539610203334,0.8718840568345928,1.89030138504929,1.234780346126297,0.908680850266528,17.536428928375244
yelpphl,LightGCN,bounded,corner_diversity,0.0,4.0,0.0,0.0,0.02571033014300458,0.9119076816640063,0.9770884105478935,0.09602352143948711,0.08809231833599375,0.9770884105478935,2.9007459869506107,-0.04933790898635226,0.6944429142894617,17.571147680282593
yelpphl,LightGCN,bounded,corner_geo,0.0,0.0,4.0,0.0,0.03646825345993356,0.8126378077061873,0.8967679004223427,0.7191127008477675,0.1873621922938127,0.8967679004223427,0.31243232723394077,0.7863480594058929,0.8946420842584525,17.55309224128723
yelpphl,LightGCN,bounded,corner_calibration,0.0,0.0,0.0,4.0,0.03204808410106094,0.9746793776415205,0.9370943857050892,0.11584681550761705,0.02532062235847953,0.9370943857050892,2.3265556318558853,0.3883368580725197,0.8975413844467554,17.723877668380737
yelpphl,LightGCN,bounded,centroid,1.0,1.0,1.0,1.0,0.05061888480095831,0.8274734639737729,0.8806554258386642,0.18830075815301847,0.17252653602622717,0.8806554258386642,1.4013599116999935,1.0951511307887092,0.8889811978303027,17.50161361694336
yelpphl,LightGCN,bounded,random_0,0.6356850794027886,1.7861892593163768,0.5073833441958732,1.0707423170849615,0.04804464730809828,0.8943958905643721,0.901259723030115,0.16767366119945717,0.10560410943562798,0.901259723030115,1.5861997823117204,0.8854021997995853,0.8563405562894054,17.580052375793457
yelpphl,LightGCN,bounded,random_1,0.22043098646110418,0.43656077239381796,0.2460764687251222,3.0969317724199557,0.04334125835350036,0.9654847039425326,0.9062779281335663,0.1741161150485004,0.034515296057467434,0.9062779281335663,1.5531467532958119,0.7119245814405736,0.8315059535519894,17.548255920410156
yelpphl,LightGCN,bounded,random_2,0.7380327014396754,0.37561550734274457,0.4798670094360956,2.4064847817814847,0.04830393529911249,0.8999966701918071,0.883275954112664,0.175202914676468,0.1000033298081929,0.883275954112664,1.5713753285079775,1.016956020791907,0.8748541824756658,17.564414024353027
yelpphl,LightGCN,bounded,random_3,0.5583470821525675,1.2290421788974846,0.5951441710511396,1.6174665678988076,0.04662987584717161,0.912166946547007,0.8974931502637943,0.17860033760125535,0.08783305345299303,0.8974931502637943,1.4858852258850157,0.8956081147720358,0.8568683660755272,17.768253087997437
yelpphl,LightGCN,bounded,random_4,0.21106026883384285,0.10357090198173947,3.6383540004129324,0.04701482877148536,0.04914771891105478,0.7963294764641247,0.8757303397637214,0.4675924644422785,0.2036705235358754,0.8757303397637214,0.5002659357374405,0.9304742644128334,0.8895498533861705,17.53683614730835
yelpphl,LightGCN,bounded,random_5,1.5995857152645616,0.11050517728645701,1.6225213693528477,0.6673877380961339,0.052378968342507916,0.7813935978792593,0.8711299671477757,0.19435740298771778,0.21860640212074067,0.8711299671477757,1.3485166564575108,1.202587953882676,0.9051825412439224,17.511064767837524
yelpphl,LightGCN,bounded,random_6,1.4044661415893915,0.4205876955475599,0.8771141840572529,1.2978319788057953,0.05198275835149444,0.8121738274006908,0.8745956778836882,0.17758706856263745,0.18782617259930923,0.8745956778836882,1.5267179233083072,1.1647169799355066,0.8986314793475919,17.529457569122314
yelpphl,LightGCN,bounded,random_7,3.0543309166798838,0.3832437013996422,0.2891827359326087,0.27324264598786524,0.0534201385313173,0.7699171633014634,0.8728112169970517,0.1558418235741366,0.23008283669853655,0.8728112169970517,1.8182490111502276,1.2228645010608419,0.907170868347339,17.66810655593872
yelpphl,LightGCN,bounded,random_8,0.6920138798749425,0.27894846795578543,1.5166664810107913,1.512371171158481,0.049486121509893906,0.8736659856813224,0.8786229452188569,0.22184609884676776,0.12633401431867766,0.8786229452188569,1.1736561363154907,1.0437454154544048,0.8826858904096755,17.528534412384033
yelpphl,LightGCN,bounded,random_9,0.38746879865374473,2.174530952652799,0.1818938756831687,1.2561063730102877,0.0406896537138532,0.9450534009548645,0.929893228401341,0.1366587492858743,0.05494659904513555,0.929893228401341,2.0422376648362555,0.5780707976170355,0.802672025331872,17.589502334594727
yelpphl,LightGCN,bounded,random_10,1.0251359687985584,1.6401048333531183,0.9796754797137022,0.3550837181346212,0.05124256610287163,0.7938290323081622,0.8840892703429002,0.18419990861125557,0.20617096769183788,0.8840892703429002,1.433479325549426,1.0865818474549056,0.8903521542396222,17.57074236869812
yelpphl,LightGCN,bounded,random_11,1.9659365682019163,0.1568524416243659,0.19748386730878906,1.679727122864928,0.052001277665005396,0.8081776021430607,0.8738425131606213,0.15287436910705063,0.19182239785693928,0.8738425131606213,1.8575026157368737,1.1800023693464394,0.9014565826330533,17.54420232772827
yelpphl,LightGCN,bounded,random_12,0.8629533424931043,0.8190619084360711,1.046728613307207,1.2712561357636174,0.04990153318955224,0.8508516438851181,0.8814858825927537,0.19391231281487414,0.1491483561148818,0.8814858825927537,1.3549973090380916,1.0642411801088814,0.8842204172638956,17.625031232833862
yelpphl,LightGCN,bounded,random_13,0.21153540309116187,0.27315923005831927,1.8254875478212123,1.6898178190293065,0.042858319387529605,0.9472445182166462,0.892859536385819,0.34446538465219767,0.05275548178335376,0.892859536385819,0.7542861297148074,0.7145505079364068,0.8411275680840897,17.770864725112915
