dataset,model,sc_method,label,w_baseline,w_platform,w_provider,w_civic,ndcg,platform,provider,civic,jsd_raw,ild_raw,geo_ild_km_raw,poplift_raw,gini_raw,elapsed_s
foursquaretky,LightGCN,borda,corner_platform,1.0,3.0,0.0,0.0,0.11846584936074617,0.9139682642227442,0.883406483669786,0.23290116228799665,0.08603173577725573,0.883406483669786,4.5254752088132015,1.0913931134088763,0.8724759100843429,177.76377534866333
foursquaretky,LightGCN,borda,corner_provider,1.0,0.0,3.0,0.0,0.06845167754975505,0.9103434474587432,0.9730303822198191,0.15257838807689653,0.08965655254125685,0.9730303822198191,6.7488274318050525,0.14830247859109877,0.7441558578112913,178.65815472602844
foursquaretky,LightGCN,borda,corner_civic,1.0,0.0,0.0,3.0,0.09092298929861305,0.8393152184795218,0.8756147435680895,0.7022344694029946,0.16068478152047816,0.8756147435680895,1.293078535233138,0.6283039824308192,0.8542100835918196,178.56101417541504
foursquaretky,LightGCN,borda,centroid,1.0,1.0,1.0,1.0,0.09531706774115242,0.9160341837447893,0.9112853016618745,0.3253019708863045,0.08396581625521067,0.9112853016618745,2.976103287693481,0.6018300713627948,0.8200636890053851,182.71574449539185
foursquaretky,LightGCN,borda,random_0,1.0,0.6510370355367876,1.829326183627715,0.5196367808354976,0.07753136665616603,0.9317357662037747,0.9542952993090659,0.20197236569941832,0.06826423379622526,0.9542952993090659,4.920416325336689,0.2953911320960291,0.765500912525254,182.535058259964
foursquaretky,LightGCN,borda,random_1,1.0,1.5212364475792237,0.4961482457115853,0.9826153067091912,0.10448093918285652,0.9061100661346662,0.8897312574074729,0.34519708168056606,0.09388993386533383,0.8897312574074729,2.8915333314789304,0.8244348875433133,0.8492066663161769,182.09409999847412
foursquaretky,LightGCN,borda,random_2,1.0,0.16827235628079754,2.117748232026584,0.7139794116926186,0.07324483535475565,0.9132268794626207,0.9618827016926832,0.21004078352753475,0.08677312053737926,0.9618827016926832,4.697219151757704,0.21988375540639885,0.7589006887124757,181.13614153862
foursquaretky,LightGCN,borda,random_3,1.0,0.34544997508882735,0.44132908044285335,2.2132209444683193,0.09418301422519555,0.8643233126828407,0.8855356295306106,0.5743623670519956,0.13567668731715937,0.8855356295306106,1.6227956891182085,0.6398424797180066,0.8427860935657582,181.1828968524933
foursquaretky,LightGCN,borda,random_4,1.0,0.7030504688366359,1.5475654977234556,0.7493840334399082,0.08157958989715454,0.9270584803712622,0.9439299457441135,0.2401072169653108,0.07294151962873789,0.9439299457441135,4.129371807569725,0.375050406831227,0.7789690342253299,181.788236618042
foursquaretky,LightGCN,borda,random_5,1.0,2.1481586042293332,0.571430584989733,0.28041081078093366,0.11179850100883641,0.923152406569606,0.8953258690011733,0.2384739544985875,0.07684759343039406,0.8953258690011733,4.291334658611295,0.9772196420348204,0.8519807430884662,184.83361315727234
foursquaretky,LightGCN,borda,random_6,1.0,2.0507355209222773,0.02649961476008688,0.9227648643176358,0.11188813303550359,0.8968443313437096,0.878590015528076,0.31761784317301595,0.10315566865629043,0.878590015528076,3.1846548198813585,0.9802780462594712,0.8666371754526951,185.45830750465393
foursquaretky,LightGCN,borda,random_7,1.0,0.13810763165655338,2.0278016753241497,0.8340906930192968,0.07396912845299486,0.9101286141242336,0.9594803282153367,0.22491256350293004,0.08987138587576635,0.9594803282153367,4.354887545369517,0.23210360285167173,0.7615829872246465,185.30211281776428
foursquaretky,LightGCN,borda,random_8,1.0,1.559265890100384,0.4669447187392338,0.9737893911603821,0.104733930827824,0.9063239030549112,0.8889048740930652,0.3420458342209806,0.09367609694508879,0.8889048740930652,2.9080006121941646,0.8337600261111325,0.8501133333834032,185.31339526176453
foursquaretky,LightGCN,borda,random_9,1.0,0.4946652525630196,2.226023352477561,0.2793113949594195,0.07405649972480902,0.9307698569766307,0.9630999423019225,0.1787549587895988,0.06923014302336931,0.9630999423019225,5.716154693495971,0.22659686340782137,0.7517037559990086,185.53367924690247
foursquaretky,LightGCN,borda,random_10,1.0,1.0046075767116807,0.9492324344843563,1.0461599888039625,0.09589479734795717,0.9132215213503595,0.9081797932340232,0.33916519262184147,0.0867784786496405,0.9081797932340232,2.8660085245193563,0.6203292255355983,0.8236313998813342,185.85514569282532
foursquaretky,LightGCN,borda,random_11,1.0,0.2529773020437339,1.3754590490423104,1.3715636489139558,0.08178396417127252,0.8998193122370557,0.9335167510770002,0.3506203565812153,0.10018068776294434,0.9335167510770002,2.6816505752154898,0.39497707256930564,0.7928995020541206,185.70001220703125
foursquaretky,LightGCN,borda,random_12,1.0,0.42363391369383885,2.3774948102180407,0.19887127608812077,0.07173785379177323,0.9294091528065046,0.9656822409080218,0.17093509156346784,0.07059084719349541,0.9656822409080218,5.988102153461643,0.20363829330336417,0.747312969875401,185.79496502876282
foursquaretky,LightGCN,borda,random_13,1.0,1.5625672418299346,0.552882134304649,0.8845506238654164,0.1046214957113138,0.909777901218777,0.8920059883402631,0.3289353281490147,0.090222098781223,0.8920059883402631,3.0593014565053753,0.8253809233004431,0.847684664318385,185.63241815567017
foursquaretky,LightGCN,borda,random_14,1.0,0.5661103607806878,0.20518689703174256,2.22870274218757,0.09785137736128445,0.8670069419736134,0.8790059778713522,0.5561641221013157,0.13299305802638658,0.8790059778713522,1.6794763864889386,0.6891979198997499,0.8502709035877639,185.0994267463684
foursquaretky,LightGCN,borda,random_15,1.0,0.23133856964191712,0.29126505725666996,2.477396373101413,0.09372628938252732,0.8550134713982346,0.8817798979272832,0.6212285881888915,0.14498652860176545,0.8817798979272832,1.4990495563636668,0.6317044580038366,0.84707661456886,184.96267080307007
foursquaretky,LightGCN,borda,random_16,1.0,0.9487369120310547,0.9004823638864461,1.1507807240824992,0.09595765478423554,0.9081325201478173,0.9049478345869308,0.36202900982053465,0.09186747985218265,0.9049478345869308,2.669275046672291,0.6308066894554385,0.8267624505246082,185.01305842399597
foursquaretky,LightGCN,borda,random_17,1.0,1.8007594311731712,0.523384869111644,0.6758556997151848,0.10821464984727153,0.9141317313816341,0.8928411748296247,0.2886606057182448,0.08586826861836595,0.8928411748296247,3.497966829553657,0.8916677406792908,0.850607223594974,184.57901525497437
foursquaretky,LightGCN,borda,random_18,1.0,1.3864468872419153,1.2834065387054405,0.3301465740526442,0.09124155686501069,0.93954828534138,0.931653846819919,0.21396510351592293,0.060451714658619954,0.931653846819919,4.710582654204801,0.5482914608626361,0.7964759251053348,184.66449427604675
foursquaretky,LightGCN,borda,random_19,1.0,0.850850586661415,1.6280391035284898,0.5211103098100951,0.0810253618148923,0.9342233695911017,0.9475320474945249,0.2153572341346117,0.06577663040889824,0.9475320474945249,4.690348539392337,0.36108152805338223,0.7742209738109007,181.2778341770172
foursquaretky,LightGCN,borda,random_20,1.0,2.2338144869183196,0.0914516587800896,0.6747338543015913,0.11436304553365535,0.9026641627214435,0.8809068771106423,0.2836094186905796,0.0973358372785565,0.8809068771106423,3.619374214710722,1.0292720347160274,0.867309665257197,185.31881308555603
foursquaretky,LightGCN,borda,random_21,1.0,1.481883409085342,1.0461382382025834,0.47197835271207467,0.09748455414817259,0.9323499439024925,0.916954846171596,0.24197563007201087,0.06765005609750753,0.916954846171596,4.103424923686487,0.670046655312457,0.8168657198434812,185.50405597686768
foursquaretky,LightGCN,borda,random_22,1.0,0.2193800590811564,2.634889428936235,0.14573051198260872,0.07030290548603481,0.9221380298649683,0.9694327145747101,0.16524296798732102,0.07786197013503171,0.9694327145747101,6.242693198526515,0.17033743007228117,0.7451933577174101,184.77869272232056
