dataset,model,sc_method,label,w_baseline,w_platform,w_provider,w_civic,ndcg,platform,provider,civic,jsd_raw,ild_raw,geo_ild_km_raw,poplift_raw,gini_raw,elapsed_s
yelpphl,LightGCN,borda,corner_platform,1.0,3.0,0.0,0.0,0.049629975917214235,0.9267617806555724,0.8855865790734364,0.1413975548321122,0.07323821934442767,0.8855865790734364,2.110101897820365,0.9243193301146534,0.8649764387360295,127.93356251716614
yelpphl,LightGCN,borda,corner_provider,1.0,0.0,3.0,0.0,0.026973686806697178,0.930784628975988,0.9779713744436956,0.08831353455678795,0.06921537102401196,0.9779713744436956,3.1770322740600534,-0.08028035247842454,0.6403586183637334,131.97970414161682
yelpphl,LightGCN,borda,corner_civic,1.0,0.0,0.0,3.0,0.041870616824918175,0.8352253624564183,0.8913715598077555,0.6104716536004968,0.16477463754358174,0.8913715598077555,0.4135721449522798,0.6193416382589184,0.8427964363002727,130.37268996238708
yelpphl,LightGCN,borda,centroid,1.0,1.0,1.0,1.0,0.04380446350783404,0.9170123284786218,0.902224105969535,0.29033769030743767,0.08298767152137819,0.902224105969535,1.118422537458227,0.6655009533106144,0.8147200284796193,140.45585703849792
yelpphl,LightGCN,borda,random_0,1.0,0.6510370355367876,1.829326183627715,0.5196367808354976,0.03134591836678565,0.9575261118660268,0.9542571384795567,0.13439603526502136,0.042473888133973244,0.9542571384795567,2.2433767144187726,0.09631884890694394,0.6997187637596844,140.57647824287415
yelpphl,LightGCN,borda,random_1,1.0,1.5212364475792237,0.4961482457115853,0.9826153067091912,0.04776463003535619,0.9004061691634877,0.8897486284803041,0.289948297154307,0.09959383083651231,0.8897486284803041,1.0797957418956041,0.8240538245687818,0.8445187038025913,140.77202796936035
yelpphl,LightGCN,borda,random_2,1.0,0.16827235628079754,2.117748232026584,0.7139794116926186,0.027157529412496825,0.9420703833038506,0.9651922795627239,0.13773237534257352,0.05792961669614938,0.9651922795627239,2.1250220688372057,-0.012631120615629847,0.6793299794834321,140.21529388427734
yelpphl,LightGCN,borda,random_3,1.0,0.34544997508882735,0.44132908044285335,2.2132209444683193,0.042460486520355445,0.8585060944270548,0.8930072165380804,0.5047785987284193,0.14149390557294517,0.8930072165380804,0.5241909293758161,0.6619016209133471,0.8348206439766542,140.29645323753357
yelpphl,LightGCN,borda,random_4,1.0,0.7030504688366359,1.5475654977234556,0.7493840334399082,0.03527681756014982,0.950204425135441,0.9314433312137378,0.18946252395298818,0.049795574864559,0.9314433312137378,1.6978661666186026,0.36547437014505973,0.7494053942647294,140.48105573654175
yelpphl,LightGCN,borda,random_5,1.0,2.1481586042293332,0.571430584989733,0.28041081078093366,0.049319976173434116,0.9236580299627715,0.8901024696143659,0.16078697039252646,0.07634197003722848,0.8901024696143659,1.9097905543729023,0.873254471833988,0.8531590830312058,140.44314336776733
yelpphl,LightGCN,borda,random_6,1.0,2.0507355209222773,0.02649961476008688,0.9227648643176358,0.049671909605248525,0.8960513272231665,0.8833295873177459,0.25075314779755803,0.10394867277683349,0.8833295873177459,1.2210723276743403,0.9113824641055543,0.8611225092043506,140.40021991729736
