dataset,model,method,user_group,ndcg,arp,poplift
gowalla,BPR,baseline,high,0.34880130287901123,0.0004156386755841798,0.3868539388847567
gowalla,BPR,baseline,medium,0.21017390992173945,0.0003107808328516777,0.007809149427151318
gowalla,BPR,baseline,low,0.2282525619985294,0.00031858640904962435,0.18638647736497027
gowalla,BPR,baseline,all,0.24151511892855218,0.0003333135166377668,0.11933357290623631
gowalla,BPR,cp,high,0.34982321486695367,0.00040895054083064995,0.3660252509469123
gowalla,BPR,cp,medium,0.21017390992173945,0.0003107808328516777,0.007809149427151318
gowalla,BPR,cp,low,0.2354064204415559,0.0003045826108496408,0.15229684435302912
gowalla,BPR,cp,all,0.24315027301474595,0.00032917513004706407,0.10834990871627906
gowalla,BPR,cp_min_js,high,0.3417681366327383,0.00033368012550573855,0.15039580233982142
gowalla,BPR,cp_min_js,medium,0.20465817518126067,0.00026274736465472164,-0.16810237006212345
gowalla,BPR,cp_min_js,low,0.22944777565698515,0.0002619271736437952,-0.06643339293289244
gowalla,BPR,cp_min_js,all,0.23703808756670128,0.0002767698786227394,-0.08406894015588838
gowalla,BPR,upd,high,0.0878146477530863,0.0006307489059532657,-0.12369840372919905
gowalla,BPR,upd,medium,0.07851622474043202,0.00051385242066441,-0.18191857115149584
gowalla,BPR,upd,low,0.14229435694958514,0.0005256048220625878,-0.15056324076206054
gowalla,BPR,upd,all,0.09313153578479334,0.0005395821980018145,-0.16400347158914919
gowalla,LORE,baseline,high,0.16076218693521888,0.0002774832796631161,-0.05277565877395385
gowalla,LORE,baseline,medium,0.10691053550435749,0.00022435802163322586,-0.25920447466520347
gowalla,LORE,baseline,low,0.2171652923015786,0.0002496243084798944,-0.11904554191431409
gowalla,LORE,baseline,all,0.13973181714997382,0.00024003633060853805,-0.1898869249367758
gowalla,LORE,cp,high,0.16076218693521888,0.0002774832796631161,-0.05277565877395385
gowalla,LORE,cp,medium,0.10691053550435749,0.00022435802163322586,-0.25920447466520347
gowalla,LORE,cp,low,0.2171652923015786,0.0002496243084798944,-0.11904554191431409
gowalla,LORE,cp,all,0.13973181714997382,0.00024003633060853805,-0.1898869249367758
gowalla,LORE,cp_min_js,high,0.16076218693521888,0.0002773016266204276,-0.054885380758309336
gowalla,LORE,cp_min_js,medium,0.10290490139982972,0.00022045523353425236,-0.27154798671129704
gowalla,LORE,cp_min_js,low,0.2153563607760477,0.00024836925109404667,-0.11838387459590023
gowalla,LORE,cp_min_js,all,0.13696665038215108,0.00023740731566344682,-0.19758264309762047
gowalla,LORE,upd,high,0.07236561478255296,0.0005559243662785898,-0.17020339669631496
gowalla,LORE,upd,medium,0.06776524689865507,0.00046636941623317743,-0.21210064568842743
gowalla,LORE,upd,low,0.14722343925727227,0.0005040046238956316,-0.16597769899875922
gowalla,LORE,upd,all,0.0845769589471579,0.0004918074477747483,-0.19449660655207132
gowalla,USG,baseline,high,0.3468180777098603,0.00039319626785566815,0.35297695010776553
gowalla,USG,baseline,medium,0.18946046756414917,0.0003291277901632125,0.08258875558966869
gowalla,USG,baseline,low,0.213788510007672,0.00036363636363636367,0.30987553615621866
gowalla,USG,baseline,all,0.2257975980819962,0.00034884320039633315,0.1821237506065981
gowalla,USG,cp,high,0.34779447775193073,0.0003784823713979026,0.3117258850955281
gowalla,USG,cp,medium,0.19044692856205228,0.00032295158671180477,0.05352973834344566
gowalla,USG,cp,low,0.21855743186791665,0.0003626620427710345,0.3094456187308211
gowalla,USG,cp,all,0.22753853906120106,0.0003419998348608698,0.15635214377133733
gowalla,USG,cp_min_js,high,0.35093595846355097,0.00031885063165717104,0.08474557217531846
gowalla,USG,cp_min_js,medium,0.18875597007778092,0.0002668813475352984,-0.14398342067860928
gowalla,USG,cp_min_js,low,0.21961678460598952,0.0003000412847824291,0.08139585810200249
gowalla,USG,cp_min_js,all,0.2273641306605768,0.0002839071918090993,-0.053161766351701285
gowalla,USG,upd,high,0.0958498871581542,0.0006607546858228056,-0.10832010178580814
gowalla,USG,upd,medium,0.07867698893684069,0.0005419260727162635,-0.16656264206460838
gowalla,USG,upd,low,0.13848943568478064,0.0005422343324250681,-0.14038796195463138
gowalla,USG,upd,all,0.09407405793069118,0.0005657534472793301,-0.1496791979868528
gowalla,SimpleX,baseline,high,0.3265093173636926,0.00039962018000165133,0.34014791604977485
gowalla,SimpleX,baseline,medium,0.1905726144564236,0.0003131533316819419,0.018540904967627378
gowalla,SimpleX,baseline,low,0.20548970494612764,0.00032874246552720666,0.15297795117337426
gowalla,SimpleX,baseline,all,0.2207433731358185,0.00033356452811493677,0.10974971642520635
gowalla,SimpleX,cp,high,0.3331803782871217,0.000378928247048138,0.2738061569034415
gowalla,SimpleX,cp,medium,0.19082628827016396,0.0003120083670492386,0.014961436581691072
gowalla,SimpleX,cp,low,0.2064523417313834,0.00032611675336470975,0.13721486996428614
gowalla,SimpleX,cp,all,0.22242231696579964,0.0003282140203121127,0.09118106732256023
gowalla,SimpleX,cp_min_js,high,0.3240338329169031,0.0003194781603500952,0.08853118771928845
gowalla,SimpleX,cp_min_js,medium,0.18485850392322123,0.00026249415132248937,-0.15472574097025926
gowalla,SimpleX,cp_min_js,low,0.2013086440186831,0.00030393856824374537,0.07858817743313244
gowalla,SimpleX,cp_min_js,all,0.21598359774105014,0.0002821798365122614,-0.059411571551671365
gowalla,SimpleX,upd,high,0.08895071588963968,0.0006104533069110721,-0.1336831435169887
gowalla,SimpleX,upd,medium,0.07728567730677365,0.000518674483252141,-0.18061828018744971
